PurchaseDate,StoreID,StoreLocation,PaymentMethod,DiscountApplied,DiscountPercent,ProductCost,Profit,FootTraffic,InventoryLevel,MarketingExpenditure,CompetitorPrice
11-06-2022,46,San Jose,Credit Card,TRUE,26,109.1,38.33000000000001,336,26,9107.9,171.55
05-06-2023,53,Los Angeles,Mobile Payment,TRUE,1,398.07,4.019999999999982,491,32,1746.77,419.19
14-10-2020,95,Philadelphia,Mobile Payment,FALSE,0,958.45,0,157,3,2030.49,835.92
27-08-2021,24,Dallas,Credit Card,FALSE,0,544.17,0,223,87,6242.68,620.36
06-06-2023,2,San Antonio,Credit Card,FALSE,0,645.75,0,315,8,6008.89,600.49
05-02-2022,93,San Diego,Debit Card,FALSE,0,304.15,0,706,71,4022.86,309.4
30-05-2023,83,San Jose,Cash,FALSE,0,629.44,0,796,82,9973.9,614.19
16-12-2022,61,Los Angeles,Cash,FALSE,0,57.43,0,642,28,1940.6,62.94
11-02-2022,61,San Jose,Credit Card,TRUE,15,201.96,35.639999999999986,225,77,5527.31,240.68
12-02-2021,69,San Diego,Online Transfer,TRUE,29,406.89,166.20000000000005,590,22,7719.62,531
13-04-2021,81,San Jose,Debit Card,TRUE,11,657.42,81.25,375,38,4167.45,672.17
26-07-2020,62,Philadelphia,Debit Card,FALSE,0,320.18,0,915,33,1019.79,290.43
31-10-2020,98,Phoenix,Mobile Payment,FALSE,0,536.86,0,590,67,1289.48,487.57
12-02-2023,16,Philadelphia,Online Transfer,TRUE,12,736.9,100.49000000000001,61,46,8545.09,844.74
21-10-2020,21,San Diego,Cash,FALSE,0,870.01,0,460,2,2952.96,1027.24
20-09-2022,56,Philadelphia,Debit Card,TRUE,30,406.06,174.02000000000004,235,50,613.76,673.16
13-04-2021,88,San Antonio,Credit Card,FALSE,0,434.31,0,836,41,2552.77,362.41
26-10-2021,98,Dallas,Cash,FALSE,0,46.38,0,834,57,5840.21,49.84
02-12-2022,10,Chicago,Mobile Payment,TRUE,12,702.89,95.85000000000002,968,7,458.71,937.84
